wordset,utterance,phone_label,phone_i,syllable,syl_position_broad,syl_position_narrow,syl_position_i
syl2,branning,b,1,1,onset,onset,1
syl2,branning,ɹ,2,1,onset,onset,2
syl2,branning,æ,3,1,rhyme,nucleus,3
syl2,branning,n,4,2,onset,onset,1
syl2,branning,ɪ,5,2,rhyme,nucleus,2
syl2,branning,ŋ,6,2,rhyme,coda,3
syl2,broadway,b,1,1,onset,onset,1
syl2,broadway,ɹ,2,1,onset,onset,2
syl2,broadway,ɒ,3,1,rhyme,nucleus,3
syl2,broadway,d,4,1,rhyme,coda,4
syl2,broadway,w,5,2,onset,onset,1
syl2,broadway,ej,6,2,rhyme,nucleus,2
syl2,bronville,b,1,1,onset,onset,1
syl2,bronville,ɹ,2,1,onset,onset,2
syl2,bronville,ɑ,3,1,rhyme,nucleus,3
syl2,bronville,n,4,1,rhyme,coda,4
syl2,bronville,v,5,2,onset,onset,1
syl2,bronville,ɪ,6,2,rhyme,nucleus,2
syl2,bronville,ɫ,7,2,rhyme,coda,3
syl3,evansville,ɛ,1,1,rhyme,nucleus,1
syl3,evansville,v,2,2,onset,onset,1
syl3,evansville,n̩,3,2,rhyme,nucleus,2
syl3,evansville,z,4,2,rhyme,coda,3
syl3,evansville,v,5,3,onset,onset,1
syl3,evansville,ɪ,6,3,rhyme,nucleus,2
syl3,evansville,ɫ,7,3,rhyme,coda,3
syl3,governor,ɡ,1,1,onset,onset,1
syl3,governor,ɐ,2,1,rhyme,nucleus,2
syl3,governor,v,3,2,onset,onset,1
syl3,governor,ɚ,4,2,rhyme,nucleus,2
syl3,governor,n,5,3,onset,onset,1
syl3,governor,ɚ,6,3,rhyme,nucleus,2
syl2,grandma,ɟ,1,1,onset,onset,1
syl2,grandma,ɹ,2,1,onset,onset,2
syl2,grandma,æ,3,1,rhyme,nucleus,3
syl2,grandma,n,4,1,rhyme,coda,4
syl2,grandma,m,5,2,onset,onset,1
syl2,grandma,ɑː,6,2,rhyme,nucleus,2
syl3,grandmother,ɟ,1,1,onset,onset,1
syl3,grandmother,ɹ,2,1,onset,onset,2
syl3,grandmother,æ,3,1,rhyme,nucleus,3
syl3,grandmother,n,4,1,rhyme,coda,4
syl3,grandmother,d,5,1,rhyme,coda,5
syl3,grandmother,m,6,2,onset,onset,1
syl3,grandmother,ɐ,7,2,rhyme,nucleus,2
syl3,grandmother,ð,8,3,onset,onset,1
syl3,grandmother,ɚ,9,3,rhyme,nucleus,2
syl2,greenview,ɟ,1,1,onset,onset,1
syl2,greenview,ɹ,2,1,onset,onset,2
syl2,greenview,i,3,1,rhyme,nucleus,3
syl2,greenview,n,4,1,rhyme,coda,4
syl2,greenview,vʲ,5,2,onset,onset,1
syl2,greenview,ʉː,6,2,rhyme,nucleus,2
syl3,manager,m,1,1,onset,onset,1
syl3,manager,æ,2,1,rhyme,nucleus,2
syl3,manager,ɲ,3,2,onset,onset,1
syl3,manager,ɪ,4,2,rhyme,nucleus,2
syl3,manager,dʒ,5,3,onset,onset,1
syl3,manager,ɚ,6,3,rhyme,nucleus,2
syl3,maryland,m,1,1,onset,onset,1
syl3,maryland,ɛ,2,1,rhyme,nucleus,2
syl3,maryland,ɹ,3,2,onset,onset,1
syl3,maryland,ɪ,4,2,rhyme,nucleus,2
syl3,maryland,l,5,3,onset,onset,1
syl3,maryland,ə,6,3,rhyme,nucleus,2
syl3,maryland,n,7,3,rhyme,coda,3
syl3,maryland,d,8,3,rhyme,coda,4
syl3,middleman,m,1,1,onset,onset,1
syl3,middleman,ɪ,2,1,rhyme,nucleus,2
syl3,middleman,ɾ,3,2,onset,onset,1
syl3,middleman,ɫ̩,4,2,rhyme,nucleus,2
syl3,middleman,m,5,3,onset,onset,1
syl3,middleman,æ,6,3,rhyme,nucleus,2
syl3,middleman,n,7,3,rhyme,coda,3
syl3,northerner,n,1,1,onset,onset,1
syl3,northerner,ɒ,2,1,rhyme,nucleus,2
syl3,northerner,ɹ,3,1,rhyme,coda,3
syl3,northerner,ð,4,2,onset,onset,1
syl3,northerner,ɚ,5,2,rhyme,nucleus,2
syl3,northerner,n,6,3,onset,onset,1
syl3,northerner,ɚ,7,3,rhyme,nucleus,2
syl3,weatherman,w,1,1,onset,onset,1
syl3,weatherman,ɜ,2,1,rhyme,nucleus,2
syl3,weatherman,ð,3,2,onset,onset,1
syl3,weatherman,ɚ,4,2,rhyme,nucleus,2
syl3,weatherman,m,5,3,onset,onset,1
syl3,weatherman,æ,6,3,rhyme,nucleus,2
syl3,weatherman,n,7,3,rhyme,coda,3
syl3,weaverville,w,1,1,onset,onset,1
syl3,weaverville,i,2,1,rhyme,nucleus,2
syl3,weaverville,v,3,2,onset,onset,1
syl3,weaverville,ɚ,4,2,rhyme,nucleus,2
syl3,weaverville,v,5,3,onset,onset,1
syl3,weaverville,ɪ,6,3,rhyme,nucleus,2
syl3,weaverville,ɫ,7,3,rhyme,coda,3
